,HCHO Value,Location,Date,Next Date
3769,,Nuwara Eliya Proper,2019-04-29,2019-04-30
3770,,Nuwara Eliya Proper,2019-04-30,2019-05-01
3771,0.0001203378887073,Nuwara Eliya Proper,2019-05-01,2019-05-02
3772,0.0001336923031109,Nuwara Eliya Proper,2019-05-02,2019-05-03
3773,,Nuwara Eliya Proper,2019-05-03,2019-05-04
3774,7.002533500214887e-05,Nuwara Eliya Proper,2019-05-04,2019-05-05
3775,4.388346007494007e-05,Nuwara Eliya Proper,2019-05-05,2019-05-06
3776,0.0001055412390811,Nuwara Eliya Proper,2019-05-06,2019-05-07
3777,0.0001036462577021,Nuwara Eliya Proper,2019-05-07,2019-05-08
3778,5.81859056799875e-05,Nuwara Eliya Proper,2019-05-08,2019-05-09
3779,0.0002151863254373,Nuwara Eliya Proper,2019-05-09,2019-05-10
3780,0.0001520700378357,Nuwara Eliya Proper,2019-05-10,2019-05-11
3781,8.896596670445717e-05,Nuwara Eliya Proper,2019-05-11,2019-05-12
3782,,Nuwara Eliya Proper,2019-05-12,2019-05-13
3783,,Nuwara Eliya Proper,2019-05-13,2019-05-14
3784,0.0002790974952239,Nuwara Eliya Proper,2019-05-14,2019-05-15
3785,0.0002221362230624,Nuwara Eliya Proper,2019-05-15,2019-05-16
3786,0.0001343666372122,Nuwara Eliya Proper,2019-05-16,2019-05-17
3787,,Nuwara Eliya Proper,2019-05-17,2019-05-18
3788,,Nuwara Eliya Proper,2019-05-18,2019-05-19
3789,0.0002702439378481,Nuwara Eliya Proper,2019-05-19,2019-05-20
3790,8.031848961353504e-05,Nuwara Eliya Proper,2019-05-20,2019-05-21
3791,0.0001222873862844,Nuwara Eliya Proper,2019-05-21,2019-05-22
3792,,Nuwara Eliya Proper,2019-05-22,2019-05-23
3793,,Nuwara Eliya Proper,2019-05-23,2019-05-24
3794,,Nuwara Eliya Proper,2019-05-24,2019-05-25
3795,-5.063913101987346e-05,Nuwara Eliya Proper,2019-05-25,2019-05-26
3796,3.6341561558326346e-05,Nuwara Eliya Proper,2019-05-26,2019-05-27
3797,0.0001195644109596,Nuwara Eliya Proper,2019-05-27,2019-05-28
3798,9.84078342114136e-05,Nuwara Eliya Proper,2019-05-28,2019-05-29
3799,0.0001370126083911,Nuwara Eliya Proper,2019-05-29,2019-05-30
3800,5.092769901518664e-05,Nuwara Eliya Proper,2019-05-30,2019-05-31
3801,0.0003009155267739,Nuwara Eliya Proper,2019-05-31,2019-06-01
3802,5.587982157832464e-05,Nuwara Eliya Proper,2019-06-01,2019-06-02
3803,3.772535689224513e-05,Nuwara Eliya Proper,2019-06-02,2019-06-03
3804,-1.7709887699493803e-05,Nuwara Eliya Proper,2019-06-03,2019-06-04
3805,,Nuwara Eliya Proper,2019-06-04,2019-06-05
3806,,Nuwara Eliya Proper,2019-06-05,2019-06-06
3807,-7.581763929920271e-05,Nuwara Eliya Proper,2019-06-06,2019-06-07
3808,,Nuwara Eliya Proper,2019-06-07,2019-06-08
3809,,Nuwara Eliya Proper,2019-06-08,2019-06-09
3810,0.0001042950827648,Nuwara Eliya Proper,2019-06-09,2019-06-10
3811,,Nuwara Eliya Proper,2019-06-10,2019-06-11
3812,8.858704770824554e-05,Nuwara Eliya Proper,2019-06-11,2019-06-12
3813,-1.5747418729006313e-05,Nuwara Eliya Proper,2019-06-12,2019-06-13
3814,0.0001989688025787,Nuwara Eliya Proper,2019-06-13,2019-06-14
3815,,Nuwara Eliya Proper,2019-06-14,2019-06-15
3816,6.074488532642667e-05,Nuwara Eliya Proper,2019-06-15,2019-06-16
3817,0.000101215088715,Nuwara Eliya Proper,2019-06-16,2019-06-17
3818,8.275653874941797e-05,Nuwara Eliya Proper,2019-06-17,2019-06-18
3819,8.291602308825832e-06,Nuwara Eliya Proper,2019-06-18,2019-06-19
3820,4.317640515599125e-05,Nuwara Eliya Proper,2019-06-19,2019-06-20
3821,9.229919803482012e-05,Nuwara Eliya Proper,2019-06-20,2019-06-21
3822,,Nuwara Eliya Proper,2019-06-21,2019-06-22
3823,0.0001479365913374,Nuwara Eliya Proper,2019-06-22,2019-06-23
3824,6.17899931725921e-05,Nuwara Eliya Proper,2019-06-23,2019-06-24
3825,,Nuwara Eliya Proper,2019-06-24,2019-06-25
3826,,Nuwara Eliya Proper,2019-06-25,2019-06-26
3827,0.0001348028330007,Nuwara Eliya Proper,2019-06-26,2019-06-27
3828,8.074711312637191e-05,Nuwara Eliya Proper,2019-06-27,2019-06-28
3829,0.0001259997361788,Nuwara Eliya Proper,2019-06-28,2019-06-29
3830,0.0001105386966815,Nuwara Eliya Proper,2019-06-29,2019-06-30
